date,n_fills,closed_pnl_sum,ntl_sum,vault
2025-10-01,242107,-200095.085013,60243687.62753701,Strategy A
2025-10-02,268053,-254833.807438,72998279.86402,Strategy A
2025-10-03,263994,-168192.180648,71430486.794408,Strategy A
2025-10-04,238726,56126.761598,54406269.570677996,Strategy A
2025-10-05,246045,-75374.756669,62206331.794378996,Strategy A
2025-10-06,268286,-141925.578733,69280246.43381801,Strategy A
2025-10-07,293754,273571.971927,83001769.27632402,Strategy A
2025-10-08,249849,14430.751314,61087838.444712,Strategy A
2025-10-09,267998,172816.707156,71061163.571965,Strategy A
2025-10-10,443197,2457415.263456,185405971.174594,Strategy A
2025-10-11,349800,231237.005717,207554712.0216851,Strategy A
2025-10-12,308433,-563263.484509,216249281.08601505,Strategy A
2025-10-13,299220,9944.801175,173872542.92522398,Strategy A
2025-10-14,293930,95706.943011,177377099.66063896,Strategy A
2025-10-15,262314,68691.539988,136288837.155645,Strategy A
2025-10-16,284938,160418.038506,158083150.53660002,Strategy A
2025-10-17,272002,-186800.17661,142475210.889322,Strategy A
2025-10-18,209761,-23399.907052,69963051.51735201,Strategy A
2025-10-19,226173,36473.117361,85935972.42977202,Strategy A
2025-10-20,236187,21731.299779999998,106617728.179466,Strategy A
2025-10-21,266677,-37541.481927,124937930.172668,Strategy A
2025-10-22,271026,-48902.354906,130323902.26261899,Strategy A
2025-10-23,225886,42509.119933,91690082.528059,Strategy A
2025-10-24,236008,-3351.9780060000007,99713165.57728998,Strategy A
2025-10-25,215211,91137.052957,71304389.008451,Strategy A
2025-10-26,225935,40951.706572,92294461.13529298,Strategy A
2025-10-27,249951,48164.973611,120042037.21731797,Strategy A
2025-10-28,250787,-18363.682272000002,121563584.823421,Strategy A
2025-10-29,252259,69768.711894,125093691.64026798,Strategy A
2025-10-30,260390,-87611.998873,142797342.560203,Strategy A
2025-10-31,226217,-89032.813442,100159302.34548903,Strategy A
2025-11-01,216411,29689.641621,81635014.76727301,Strategy A
2025-11-02,217096,63187.486328000006,89383259.64727598,Strategy A
2025-11-03,276208,-149359.02471,152086383.833605,Strategy A
2025-11-04,327161,32669.117116,193449009.820801,Strategy A
2025-11-05,266314,-70324.887393,137812844.52237,Strategy A
2025-11-06,255468,23228.586884,128713254.06469499,Strategy A
2025-11-07,294841,31036.483395000003,172429191.68425897,Strategy A
2025-11-08,263407,117858.891476,129809610.38708402,Strategy A
2025-11-09,258470,-141378.131745,130147109.63281,Strategy A
2025-11-10,291737,-33565.140982,158749800.50816,Strategy A
2025-11-11,278283,119096.000121,156188078.77160406,Strategy A
2025-11-12,268015,48017.52053,137188614.544476,Strategy A
2025-11-13,286612,-28225.156886999997,152113888.98217502,Strategy A
2025-11-14,301808,117794.596295,169098200.04302102,Strategy A
2025-11-15,224806,20754.4517,87714456.414725,Strategy A
2025-11-16,251194,83191.973621,117748160.730413,Strategy A
2025-11-17,282813,160779.776341,143345769.83445302,Strategy A
2025-11-18,267806,-106696.430322,134598843.20955202,Strategy A
2025-11-19,262036,150342.907598,103960463.28994098,Strategy A
