date,n_fills,closed_pnl_sum,ntl_sum,vault
2025-10-01,268243,156132.630432,65142134.618059,Strategy B
2025-10-02,300999,251446.877045,79525699.43504798,Strategy B
2025-10-03,294086,137090.711362,75663009.91312699,Strategy B
2025-10-04,264285,-57067.121714,59319500.74022001,Strategy B
2025-10-05,271051,76340.578732,66831531.65469302,Strategy B
2025-10-06,301747,139277.889097,75861781.66715902,Strategy B
2025-10-07,327592,-276490.051842,87893035.600527,Strategy B
2025-10-08,281290,4405.572503,67067714.391429,Strategy B
2025-10-09,298723,-139411.774778,75384068.435012,Strategy B
2025-10-10,499983,-2326422.5115,214422194.90904996,Strategy B
2025-10-11,404878,63443.213603000004,229967153.80160806,Strategy B
2025-10-12,356503,-240157.965654,232433566.85630098,Strategy B
2025-10-13,337179,68154.01590299999,183529901.20661503,Strategy B
2025-10-14,321325,-93113.616247,180941171.232037,Strategy B
2025-10-15,295757,74083.398368,145055865.67973796,Strategy B
2025-10-16,299733,34928.262578,152477311.47829998,Strategy B
2025-10-17,292518,-67207.117592,140494730.938237,Strategy B
2025-10-18,230483,33407.122955,77224504.20122601,Strategy B
2025-10-19,247798,-15428.63271,91169414.091893,Strategy B
2025-10-20,260839,31363.029768,113189515.072193,Strategy B
2025-10-21,286344,-3579.035732000002,128865533.95935301,Strategy B
2025-10-22,285214,40629.849361,127003053.91754802,Strategy B
2025-10-23,244655,-98821.657184,95277822.50210899,Strategy B
2025-10-24,252528,-17090.853653,100294892.44765699,Strategy B
2025-10-25,228315,-49491.041026,75578947.37379502,Strategy B
2025-10-26,244463,-142644.237332,98233650.02748498,Strategy B
2025-10-27,274750,-151528.54686,126015365.70422298,Strategy B
2025-10-28,270618,47239.572673999995,123402010.442561,Strategy B
2025-10-29,268531,3918.2866030000005,125568302.609133,Strategy B
2025-10-30,277438,141913.755219,143651627.81190196,Strategy B
2025-10-31,248430,-47357.652261999996,105887582.433524,Strategy B
2025-11-01,237510,-94884.999703,88715237.17565201,Strategy B
2025-11-02,237943,-72965.043124,94280291.544862,Strategy B
2025-11-03,297475,215374.853682,150358293.86845097,Strategy B
2025-11-04,332024,30306.659829999997,181224297.836522,Strategy B
2025-11-05,290685,-77111.700255,139720396.41275695,Strategy B
2025-11-06,277636,-27611.651949,131858779.22740203,Strategy B
2025-11-07,321664,-218703.942857,176997217.343995,Strategy B
2025-11-08,291074,-41147.638427,135475568.132333,Strategy B
2025-11-09,278838,58063.48048400001,135340908.437452,Strategy B
2025-11-10,318721,95936.917088,164362021.697075,Strategy B
2025-11-11,302805,22460.647238,160443780.92236802,Strategy B
2025-11-12,279876,23281.953184,134716608.40685198,Strategy B
2025-11-13,290255,-41596.574491,139642874.895391,Strategy B
2025-11-14,303117,-85684.159575,155345931.091276,Strategy B
2025-11-15,248459,-56525.856468,93947033.454827,Strategy B
2025-11-16,274736,-141107.062051,121229238.13660301,Strategy B
2025-11-17,293680,-67191.769759,136064453.708766,Strategy B
2025-11-18,284560,-80491.540991,129256521.33933,Strategy B
2025-11-19,279125,-152181.060078,102371582.41235504,Strategy B
