ts,vault,vault_name,coin,delta_usd,szi,funding_rate
2025-08-14 00:00:00+00:00,0x2e3d94f0562703b25c83308a05046ddaf9a8dd14,Liquidator,HYPE,8.315626,2390.34,-7.71996e-05
2025-09-08 00:00:00+00:00,0x2e3d94f0562703b25c83308a05046ddaf9a8dd14,Liquidator,LAUNCHCOIN,48.728038,-529170.0,0.0009042017
2025-10-09 00:00:00+00:00,0x2e3d94f0562703b25c83308a05046ddaf9a8dd14,Liquidator,XPL,-6.49247,650915.0,1.25e-05
2025-10-10 00:00:00+00:00,0x2e3d94f0562703b25c83308a05046ddaf9a8dd14,Liquidator,PUMP,2370.328373,314453232.0,-0.0008969741
2025-10-10 00:00:00+00:00,0x2e3d94f0562703b25c83308a05046ddaf9a8dd14,Liquidator,ZEC,5721.90139,22394.03,-0.0013170625
2025-10-10 00:00:00+00:00,0x2e3d94f0562703b25c83308a05046ddaf9a8dd14,Liquidator,XPL,-60.533507,7999142.0,1.25e-05
2025-10-10 00:00:00+00:00,0x2e3d94f0562703b25c83308a05046ddaf9a8dd14,Liquidator,WLFI,-41.128184,27265733.0,1.03352e-05
2025-10-10 00:00:00+00:00,0x2e3d94f0562703b25c83308a05046ddaf9a8dd14,Liquidator,LAUNCHCOIN,4168.806245,29403453.0,-0.0019043583
2025-10-10 00:00:00+00:00,0x2e3d94f0562703b25c83308a05046ddaf9a8dd14,Liquidator,FARTCOIN,-14.400102,9183208.9,3.1108e-06
2025-10-10 00:00:00+00:00,0x2e3d94f0562703b25c83308a05046ddaf9a8dd14,Liquidator,ENA,-69.733185,13644747.0,1.25e-05
2025-10-10 00:00:00+00:00,0x2e3d94f0562703b25c83308a05046ddaf9a8dd14,Liquidator,DOGE,582.113547,16709634.0,-0.0001887059
2025-10-10 00:00:00+00:00,0x2e3d94f0562703b25c83308a05046ddaf9a8dd14,Liquidator,ASTER,15429.699102,2291834.0,-0.0048013607
2025-10-10 00:00:00+00:00,0x2e3d94f0562703b25c83308a05046ddaf9a8dd14,Liquidator,HYPE,72521.180391,808899.49,-0.0010920744
2025-10-11 00:00:00+00:00,0x2e3d94f0562703b25c83308a05046ddaf9a8dd14,Liquidator,HYPE,583.528275,296210.6933333334,-1.68975e-05
2025-10-22 00:00:00+00:00,0x2e3d94f0562703b25c83308a05046ddaf9a8dd14,Liquidator,ENA,1986.249424,11073932.0,-0.0002053469
2025-11-12 16:00:00.001000+00:00,0x2e3d94f0562703b25c83308a05046ddaf9a8dd14,Liquidator,POPCAT,-60075.812125,148011610.0,0.0024415653
2025-08-14 00:00:00+00:00,0xb0a55f13d22f66e6d495ac98113841b2326e9540,Liquidator 2,ETH,-31.417452,148.9983,4.61608e-05
2025-08-24 00:00:00+00:00,0xb0a55f13d22f66e6d495ac98113841b2326e9540,Liquidator 2,BTC,-228.717334,56.55319,3.59195e-05
2025-08-24 00:00:00+00:00,0xb0a55f13d22f66e6d495ac98113841b2326e9540,Liquidator 2,ETH,-110.369525,1092.7062,2.0993e-05
2025-09-22 00:00:00+00:00,0xb0a55f13d22f66e6d495ac98113841b2326e9540,Liquidator 2,ETH,-7.177946,3299.48895,2.59e-07
2025-10-10 00:00:00+00:00,0xb0a55f13d22f66e6d495ac98113841b2326e9540,Liquidator 2,BTC,-2350.694943,60.787535,0.0001704792
2025-10-10 00:00:00+00:00,0xb0a55f13d22f66e6d495ac98113841b2326e9540,Liquidator 2,ETH,11481.856555,4128.2726,-0.0003541807
2025-10-10 00:00:00+00:00,0xb0a55f13d22f66e6d495ac98113841b2326e9540,Liquidator 2,SOL,19500.963928,26270.8,-0.0019269025
2025-10-10 00:00:00+00:00,0xb0a55f13d22f66e6d495ac98113841b2326e9540,Liquidator 2,XRP,-44.746426,1438156.0,1.25e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,REQ,2.119775,66749.0416666667,-9.0632e-06
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,XRP,-22.402912,41956.4583333333,7.4075e-06
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,PURR,-3.398896,69199.9583333333,1.25e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,RSR,36.893516,-19985596.791666668,1.01826e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,PUMP,53.735248,-45297144.166666664,1.83157e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,RESOLV,69.789096,-1303357.25,1.25e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,SEI,60.108501,160557.75,-5.40109e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,RENDER,21.325781,-19707.4416666667,1.25e-05
