ts,vault,kind,delta_usd,vault_name
2025-08-01 01:25:22.174000+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,vaultDeposit,11970428.010125,Strategy A
2025-08-08 17:15:46.228000+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,vaultDeposit,15567515.121214,Strategy A
2025-08-18 07:25:22.099000+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,vaultDeposit,16172791.796338,Strategy A
2025-08-26 05:35:40.020000+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,vaultDeposit,18484492.666411,Strategy A
2025-08-30 16:14:55.653000+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,vaultDeposit,21301214.054691,Strategy A
2025-09-08 15:15:15.933000+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,vaultWithdraw,-17821953.893165,Strategy A
2025-09-17 06:49:27.617000+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,vaultWithdraw,-17953130.92799,Strategy A
2025-09-25 11:14:52.586000+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,vaultWithdraw,-16280478.304507,Strategy A
2025-10-05 12:14:29.982000+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,vaultWithdraw,-13008585.597929,Strategy A
2025-10-10 21:26:51.351000+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,vaultWithdraw,-16388411.180678,Strategy A
2025-10-11 13:04:08.709000+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,vaultDeposit,14589344.452343,Strategy A
2025-10-13 02:05:16.181000+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,vaultDeposit,15382725.927596,Strategy A
2025-10-14 14:44:04.428000+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,vaultDeposit,20419654.733086,Strategy A
2025-11-15 13:59:09.675000+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,vaultWithdraw,-16199217.59251,Strategy A
2025-08-01 01:25:26.634000+00:00,0x31ca8395cf837de08b24da3f660e77761dfb974b,vaultDeposit,14489608.860434,Strategy B
2025-08-08 17:15:50.522000+00:00,0x31ca8395cf837de08b24da3f660e77761dfb974b,vaultDeposit,14734524.425975,Strategy B
2025-08-18 07:25:26.862000+00:00,0x31ca8395cf837de08b24da3f660e77761dfb974b,vaultDeposit,16039453.310575,Strategy B
2025-08-26 05:35:44.590000+00:00,0x31ca8395cf837de08b24da3f660e77761dfb974b,vaultDeposit,18519168.351038,Strategy B
2025-08-30 16:14:59.933000+00:00,0x31ca8395cf837de08b24da3f660e77761dfb974b,vaultDeposit,21027137.468623,Strategy B
2025-09-08 15:15:21.209000+00:00,0x31ca8395cf837de08b24da3f660e77761dfb974b,vaultWithdraw,-18810396.052823,Strategy B
2025-09-17 06:49:32.142000+00:00,0x31ca8395cf837de08b24da3f660e77761dfb974b,vaultWithdraw,-18877749.519861,Strategy B
2025-09-25 11:14:57.035000+00:00,0x31ca8395cf837de08b24da3f660e77761dfb974b,vaultWithdraw,-13730363.744074,Strategy B
2025-10-05 12:14:34.538000+00:00,0x31ca8395cf837de08b24da3f660e77761dfb974b,vaultWithdraw,-14104816.098634,Strategy B
2025-10-10 21:26:55.802000+00:00,0x31ca8395cf837de08b24da3f660e77761dfb974b,vaultWithdraw,-8973636.306195,Strategy B
2025-10-11 13:04:13.158000+00:00,0x31ca8395cf837de08b24da3f660e77761dfb974b,vaultDeposit,13141220.407444,Strategy B
2025-10-13 02:05:21.260000+00:00,0x31ca8395cf837de08b24da3f660e77761dfb974b,vaultDeposit,14992939.067028,Strategy B
2025-10-14 14:44:08.999000+00:00,0x31ca8395cf837de08b24da3f660e77761dfb974b,vaultDeposit,20528602.549621,Strategy B
2025-11-15 13:59:14.076000+00:00,0x31ca8395cf837de08b24da3f660e77761dfb974b,vaultWithdraw,-15536259.5799,Strategy B
2025-08-02 17:32:58.213000+00:00,0x2e3d94f0562703b25c83308a05046ddaf9a8dd14,vaultWithdraw,-52347.760362,Liquidator
2025-08-03 17:33:06.415000+00:00,0x2e3d94f0562703b25c83308a05046ddaf9a8dd14,vaultWithdraw,-381225.51544,Liquidator
2025-08-07 01:51:18.934000+00:00,0x2e3d94f0562703b25c83308a05046ddaf9a8dd14,vaultWithdraw,-412.286631,Liquidator
2025-08-08 01:51:25.790000+00:00,0x2e3d94f0562703b25c83308a05046ddaf9a8dd14,vaultDeposit,10446.798781,Liquidator
2025-08-09 20:16:23.297000+00:00,0x2e3d94f0562703b25c83308a05046ddaf9a8dd14,vaultDeposit,3418.391856,Liquidator
2025-08-10 20:16:32.640000+00:00,0x2e3d94f0562703b25c83308a05046ddaf9a8dd14,vaultWithdraw,-25355.066248,Liquidator
2025-08-11 21:31:56.166000+00:00,0x2e3d94f0562703b25c83308a05046ddaf9a8dd14,vaultWithdraw,-1471.332485,Liquidator
2025-08-12 21:32:12.800000+00:00,0x2e3d94f0562703b25c83308a05046ddaf9a8dd14,vaultWithdraw,-21096.659008,Liquidator
2025-08-14 12:31:01.692000+00:00,0x2e3d94f0562703b25c83308a05046ddaf9a8dd14,vaultWithdraw,-509.795605,Liquidator
2025-08-15 12:31:23.672000+00:00,0x2e3d94f0562703b25c83308a05046ddaf9a8dd14,vaultWithdraw,-430716.527564,Liquidator
2025-08-22 14:04:33.342000+00:00,0x2e3d94f0562703b25c83308a05046ddaf9a8dd14,vaultWithdraw,-989.214367,Liquidator
2025-08-23 14:04:45.869000+00:00,0x2e3d94f0562703b25c83308a05046ddaf9a8dd14,vaultWithdraw,-47551.756342,Liquidator
2025-08-24 19:38:08.004000+00:00,0x2e3d94f0562703b25c83308a05046ddaf9a8dd14,vaultDeposit,53.110035,Liquidator
2025-08-26 21:57:05.725000+00:00,0x2e3d94f0562703b25c83308a05046ddaf9a8dd14,vaultDeposit,20.944368,Liquidator
2025-09-08 22:11:17.951000+00:00,0x2e3d94f0562703b25c83308a05046ddaf9a8dd14,vaultWithdraw,-487455.051776,Liquidator
2025-09-09 22:11:24.917000+00:00,0x2e3d94f0562703b25c83308a05046ddaf9a8dd14,vaultWithdraw,-648217.677366,Liquidator
