ts,vault,vault_name,scope,timeframe,account_value,flow_cum,pnl_since_inception
2025-08-06 22:02:00.056000+00:00,0x2e3d94f0562703b25c83308a05046ddaf9a8dd14,Liquidator,all,allTime,600000.0,-15066084.336237922,15666084.33
2025-08-20 23:02:00.026000+00:00,0x2e3d94f0562703b25c83308a05046ddaf9a8dd14,Liquidator,all,allTime,600000.0,-15531780.813141922,16131780.78
2025-09-03 22:10:00.026000+00:00,0x2e3d94f0562703b25c83308a05046ddaf9a8dd14,Liquidator,all,allTime,600005.736751,-15580247.729447922,16180253.426751
2025-09-17 22:30:00.074000+00:00,0x2e3d94f0562703b25c83308a05046ddaf9a8dd14,Liquidator,all,allTime,600000.0,-16715920.45858992,17315920.41
2025-10-01 23:50:00.008000+00:00,0x2e3d94f0562703b25c83308a05046ddaf9a8dd14,Liquidator,all,allTime,599991.581669,-17064300.29138292,17664291.811669
2025-10-15 22:10:00.103000+00:00,0x2e3d94f0562703b25c83308a05046ddaf9a8dd14,Liquidator,all,allTime,4998728.370869,-44059561.82721392,49058290.120869
2025-10-29 22:10:00.066000+00:00,0x2e3d94f0562703b25c83308a05046ddaf9a8dd14,Liquidator,all,allTime,5000000.0,-44424251.78788792,49424251.7
2025-11-12 23:50:00.047000+00:00,0x2e3d94f0562703b25c83308a05046ddaf9a8dd14,Liquidator,all,allTime,-518811.82111,-44445616.74456893,43926804.81889
2025-11-19 22:10:00.074000+00:00,0x2e3d94f0562703b25c83308a05046ddaf9a8dd14,Liquidator,all,allTime,1000000.0,-42926804.92345893,43926804.82
2025-08-06 22:02:00.056000+00:00,0x2e3d94f0562703b25c83308a05046ddaf9a8dd14,Liquidator,perp,perpAllTime,600000.0,0.0,56864118.66
2025-08-20 23:02:00.026000+00:00,0x2e3d94f0562703b25c83308a05046ddaf9a8dd14,Liquidator,perp,perpAllTime,600000.0,0.0,57329815.11
2025-09-03 22:10:00.026000+00:00,0x2e3d94f0562703b25c83308a05046ddaf9a8dd14,Liquidator,perp,perpAllTime,600005.736751,0.0,57378287.756751
2025-09-17 22:30:00.074000+00:00,0x2e3d94f0562703b25c83308a05046ddaf9a8dd14,Liquidator,perp,perpAllTime,600000.0,0.0,58513954.74
2025-10-01 23:50:00.008000+00:00,0x2e3d94f0562703b25c83308a05046ddaf9a8dd14,Liquidator,perp,perpAllTime,599991.581669,0.0,58862326.141669
2025-10-15 22:10:00.103000+00:00,0x2e3d94f0562703b25c83308a05046ddaf9a8dd14,Liquidator,perp,perpAllTime,4998728.370869,0.0,90256324.450869
2025-10-29 22:10:00.066000+00:00,0x2e3d94f0562703b25c83308a05046ddaf9a8dd14,Liquidator,perp,perpAllTime,5000000.0,0.0,90622286.03
2025-11-12 23:50:00.047000+00:00,0x2e3d94f0562703b25c83308a05046ddaf9a8dd14,Liquidator,perp,perpAllTime,-518811.82111,0.0,85124839.14889
2025-11-19 22:10:00.074000+00:00,0x2e3d94f0562703b25c83308a05046ddaf9a8dd14,Liquidator,perp,perpAllTime,1000000.0,0.0,85124839.15
2025-08-06 22:02:00.056000+00:00,0xb0a55f13d22f66e6d495ac98113841b2326e9540,Liquidator 2,all,allTime,7500000.241388,7458078.737665001,41921.501388
2025-08-13 22:42:00.028000+00:00,0xb0a55f13d22f66e6d495ac98113841b2326e9540,Liquidator 2,all,allTime,7500000.0,7458023.600019001,41976.4
2025-08-20 23:02:00.026000+00:00,0xb0a55f13d22f66e6d495ac98113841b2326e9540,Liquidator 2,all,allTime,7500000.000001,7256846.637888001,243153.350001
2025-08-27 22:30:00.102000+00:00,0xb0a55f13d22f66e6d495ac98113841b2326e9540,Liquidator 2,all,allTime,7500000.0,6988208.981707001,511791.0
